,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,completed sets,packs,simulations
102,,,1.0,1.0,,,1.0,4.0,2.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,3.0,,1.0,1.0,,1.0,0.6666666666666666,4.0,500.0
103,1.0,,,2.0,,1.0,,3.0,,2.0,3.0,1.0,1.0,,2.0,1.0,2.0,2.0,,1.0,,1.0,1.0,,0.625,4.0,500.0
104,,,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,,0.7083333333333334,4.0,500.0
105,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,,,3.0,1.0,1.0,2.0,2.0,,1.0,,0.75,4.0,500.0
106,1.0,1.0,3.0,,2.0,,2.0,,3.0,2.0,2.0,,,1.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,,0.625,4.0,500.0
107,1.0,1.0,1.0,1.0,,,,3.0,2.0,4.0,,1.0,2.0,1.0,1.0,,1.0,,2.0,2.0,,,1.0,,0.625,4.0,500.0
108,,,,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,0.6666666666666666,4.0,500.0
109,,,3.0,2.0,,2.0,1.0,,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,2.0,0.6666666666666666,4.0,500.0
110,,,2.0,1.0,,,,3.0,,,1.0,,,3.0,2.0,2.0,1.0,1.0,3.0,,1.0,1.0,1.0,2.0,0.5833333333333334,4.0,500.0
111,,,1.0,2.0,1.0,,2.0,,1.0,1.0,,,,2.0,2.0,1.0,3.0,,1.0,1.0,2.0,3.0,1.0,,0.625,4.0,500.0
112,,2.0,1.0,1.0,2.0,1.0,,2.0,,,,,3.0,1.0,1.0,,3.0,1.0,1.0,2.0,1.0,,1.0,1.0,0.6666666666666666,4.0,500.0
113,,1.0,1.0,1.0,,2.0,1.0,,5.0,,1.0,2.0,1.0,2.0,,1.0,,,3.0,,,2.0,1.0,,0.5833333333333334,4.0,500.0
114,,,3.0,,1.0,1.0,3.0,1.0,,1.0,,,,1.0,1.0,2.0,2.0,,2.0,2.0,1.0,2.0,1.0,,0.625,4.0,500.0
115,,,,1.0,2.0,1.0,2.0,,,1.0,1.0,,2.0,3.0,2.0,4.0,,2.0,,1.0,,1.0,1.0,,0.5833333333333334,4.0,500.0
116,,,,2.0,2.0,,,2.0,1.0,,2.0,3.0,,3.0,1.0,2.0,,1.0,1.0,,1.0,3.0,,,0.5416666666666666,4.0,500.0
