packs,common,uncommon,rare,super rare,ultra rare
57,99.56286362553597,99.9847231789624,99.99991115969044,99.9863769418142,97.1030494105165
58,99.60260329594178,99.98690558196776,99.99993042626359,99.98834654058804,97.27756450626853
59,99.63873026903799,99.98877621311523,99.99994551454378,99.99003137809339,97.44156664444512
60,99.67157297185271,99.99037961124162,99.99995733066682,99.99147262463411,97.5956891357436
61,99.70142997441155,99.99175395249283,99.99996658425714,99.99270549818098,97.74052713961447
62,99.7285727040105,99.99293195927956,99.99997383104476,99.99376012494999,97.87663996252927
63,99.75324791273682,99.99394167938249,99.99997950623987,99.99466227555963,98.00455321779859
64,99.77567992066984,99.99480715375641,99.99998395066977,99.99543399475583,98.1247608552806
65,99.7960726551544,99.99554898893408,99.99998743124742,99.99609414009234,98.23772706881792
66,99.81461150468583,99.99618484765777,99.99999015700098,99.99665884272959,98.34388808876864
67,99.83146500425984,99.99672986942095,99.99999229162728,99.99714190161207,98.44365386655366
68,99.84678636750894,99.99719703093224,99.99999396332257,99.9975551206561,98.53740965772514
69,99.8607148795536,99.99759745508477,99.99999527248153,99.99790859718775,98.62551750966941
70,99.87337716323054,99.99794067578695,99.9999962977265,99.99821096867868,98.70831765968931
71,99.88488833020958,99.99823486496024,99.99999710062919,99.99846962380947,98.78612984886466
72,99.89535302746326,99.99848702710878,99.99999772940839,99.99869088301774,98.85925455676437
73,99.90486638860295,99.99870316609324,99.99999822182586,99.99888015294289,98.92797416177858
74,99.91351489872996,99.99888842807992,99.99999860745397,99.9990420585415,98.99255403155095
75,99.9213771806636,99.9990472240685,99.99999890945192,99.99918055610178,99.05324354772259
76,99.92852470969417,99.99918333491587,99.99999914595632,99.99929902991838,99.11027706894411
77,99.93502246335835,99.99930000135645,99.99999933117061,99.99940037499042,99.16387483587519
78,99.94092951214395,99.99940000116267,99.99999947621795,99.9994870677629,99.21424382166583
79,99.9462995564945,99.99948571528229,99.99999958980924,99.99956122664054,99.26157853120404
80,99.95118141499499,99.99955918452767,99.99999967876627,99.99962466375275,99.30606175221584
81,99.95561946817728,99.99962215816657,99.9999997484314,99.99967892923428,99.3478652611185
82,99.95965406197934,99.99967613557136,99.99999980298846,99.99972534910403,99.38715048635233
83,99.96332187452668,99.9997224019183,99.99999984571384,99.9997650576673,99.42406913175279
84,99.9666562495697,99.99976205878713,99.9999998791735,99.99979902523347,99.4587637623701
85,99.96968749960882,99.99979605038895,99.99999990537684,99.99982808182622,99.4913683549984
86,99.97244318146257,99.99982518604767,99.99999992589753,99.9998529374658,99.52200881554066
87,99.97494834678415,99.99985015946945,99.99999994196794,99.99987419951894,99.5508034652069
88,99.97722576980377,99.99987156525953,99.9999999545532,99.9998923875403,99.57786349742335
89,99.97929615436706,99.99988991307958,99.99999996440914,99.99990794596822,99.60329340721712
90,99.98117832215188,99.99990563978251,99.99999997212764,99.99992125498486,99.62719139473415
91,99.98288938377443,99.99991911981357,99.99999997817226,99.99993263980632,99.64964974444896
92,99.9844448943404,99.99993067412592,99.99999998290598,99.9999423786295,99.67075518153035
93,99.98585899485491,99.99994057782222,99.9999999866131,99.99995070943005,99.69058920673936
94,99.9871445407772,99.99994906670476,99.9999999895163,99.99995783577752,99.70922841115267
95,99.98831321888835,99.99995634288979,99.99999999178986,99.99996393180969,99.7267447719266
96,99.98937565353486,99.99996257961983,99.99999999357037,99.9999691464878,99.74320593024427
97,99.99034150321351,99.99996792538842,99.99999999496475,99.99997360723656,99.75867545251872
98,99.99121954837592,99.99997250747579,99.99999999605673,99.99997742305777,99.77321307586095
99,99.99201777125084,99.99997643497925,99.99999999691191,99.999980687194,99.7868749387609
100,99.99274342840985,99.99997980141079,99.99999999758161,99.99998347940692,99.79971379787169
